date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2019-01-25,147.48,149.83,146.54,149.01,22250954,22250954,3.18,2.181,148.8118,Jan 25,0
2019-01-28,148.05,148.96,146.21,147.47,15508483,15508483,-1.54,-1.033,147.2893,Jan 28,-0.01033487685390237
2019-01-29,148.09,148.1,143.43,144.19,17631953,17631953,-3.28,-2.224,144.5005,Jan 29,-0.03234682236091533
2019-01-30,146.22,150.95,145.6953,150.42,44613240,44613240,6.23,4.321,148.5208,Jan 30,0.00946245218441713
2019-01-31,165.6,171.68,165,166.69,77233602,77233602,16.27,10.816,168.2784,Jan 31,0.1186497550499967
2019-02-01,165.84,169.1,165.66,165.71,30806513,30806513,-0.98,-0.588,167.0224,Feb 1,0.11207301523387704
2019-02-04,165.7,169.3,163.62,169.25,20036470,20036470,3.54,2.136,167.9714,Feb 4,0.13582981007986047
2019-02-05,169.15,171.98,168.69,171.16,22556985,22556985,1.91,1.129,170.7187,Feb 5,0.1486477417622979
2019-02-06,171.2,172.47,169.27,170.49,13281161,13281161,-0.67,-0.391,170.5717,Feb 6,0.1441513992349508
2019-02-07,168.2,169.24,165.25,166.38,17517609,17517609,-4.11,-2.411,166.8,Feb 7,0.11656935776122411
2019-02-08,164.47,167.37,164.21,167.33,12561422,12561422,0.95,0.571,165.8799,Feb 8,0.12294476880746275
2019-02-11,167.9,168.3,165.08,165.79,12811176,12811176,-1.54,-0.92,166.2333,Feb 11,0.11260989195356018
2019-02-12,166.86,168.34,164.5,165.04,16292290,16292290,-0.75,-0.452,166.3346,Feb 12,0.10757667270652978
2019-02-13,165.38,166.22,163.73,164.07,14205146,14205146,-0.97,-0.588,165.0823,Feb 13,0.10106704248037046
2019-02-14,163.19,164.8697,162.2468,163.95,12755151,12755151,-0.12,-0.073,163.6435,Feb 14,0.10026172740084557
2019-02-15,164.51,164.7,160.86,162.5,15504415,15504415,-1.45,-0.884,162.3463,Feb 15,0.09053083685658687
2019-02-19,160.5,164.15,160.33,162.29,14345390,14345390,-0.21,-0.129,162.6784,Feb 19,0.0891215354674183
2019-02-20,162.25,163.72,161.25,162.56,11770692,11770692,0.27,0.166,162.5207,Feb 20,0.09093349439634932
2019-02-21,161.93,162.24,159.59,160.04,15607828,15607828,-2.52,-1.55,160.4093,Feb 21,0.07402187772632711
2019-02-22,160.58,162.41,160.31,161.89,15858468,15858468,1.85,1.156,161.536,Feb 22,0.08643715186900205
2019-02-25,163.07,166.07,162.9,164.62,18737106,18737106,2.73,1.686,164.843,Feb 25,0.10475806992819284